date,DAH,treatment,tunnel,fruit_weight(g),fruit no.,basket_weight(g),verde (g),deforme (g),scarto (g),oidio (g),,notes
23/05/2025,3,shaded,S1,37,1,,,,,,,+3gg
23/05/2025,3,shaded,S1,36.7,1,,,,,,,
23/05/2025,3,shaded,S1,40.7,1,,,,,,,
23/05/2025,3,shaded,S1,32.6,1,,,,,,,
23/05/2025,3,shaded,S1,37.6,1,,,,,,,
23/05/2025,3,shaded,S1,30.9,1,,,,,,,
23/05/2025,3,shaded,S1,19.6,1,,,,,,,
23/05/2025,3,shaded,S1,29.7,1,,,,,,,
23/05/2025,3,shaded,S1,17.5,1,,,,,,,
23/05/2025,3,shaded,S1,23.7,1,,,,,,,
23/05/2025,3,shaded,S1,41.2,1,,,,,,,
23/05/2025,3,shaded,S1,38.5,1,,,,,,,
23/05/2025,3,shaded,S1,30.2,1,,,,,,,
23/05/2025,3,shaded,S1,47,1,,,,,,,
23/05/2025,3,shaded,S1,40.8,1,,,,,,,
23/05/2025,3,shaded,S1,34.5,1,,,,,,,
23/05/2025,3,shaded,S1,35.6,1,,,,,,,
23/05/2025,3,shaded,S1,42.8,1,,,,,,,
23/05/2025,3,shaded,S1,48.8,1,,,,,,,
23/05/2025,3,shaded,S1,32.7,1,,,,,,,
23/05/2025,3,shaded,S1,40.9,1,,,,,,,
23/05/2025,3,shaded,S1,39.6,1,,,,,,,
23/05/2025,3,shaded,S1,29.9,1,,,,,,,
23/05/2025,3,shaded,S1,40.2,1,,,,,,,
23/05/2025,3,shaded,S1,34.8,1,,,,,,,
23/05/2025,3,shaded,S1,32.9,1,,,,,,,
23/05/2025,3,shaded,S1,22.5,1,,,,,,,
23/05/2025,3,shaded,S2,56,1,,,,,,,
23/05/2025,3,shaded,S2,43.6,1,,,,,,,
23/05/2025,3,shaded,S2,48.6,1,,,,,,,
23/05/2025,3,shaded,S2,42.4,1,,,,,,,
23/05/2025,3,shaded,S2,40.3,1,,,,,,,
23/05/2025,3,shaded,S2,23.2,1,,,,,,,
23/05/2025,3,shaded,S2,51.4,1,,,,,,,
23/05/2025,3,shaded,S2,35.8,1,,,,,,,
23/05/2025,3,shaded,S2,36.9,1,,,,,,,
23/05/2025,3,shaded,S2,26.3,1,,,,,,,
23/05/2025,3,shaded,S2,49.6,1,,,,,,,
23/05/2025,3,shaded,S2,42.7,1,,,,,,,
23/05/2025,3,shaded,S2,50.4,1,,,,,,,
23/05/2025,3,shaded,S2,26.3,1,,,,,,,
23/05/2025,3,shaded,S2,51.4,1,,,,,,,
23/05/2025,3,shaded,S2,36.9,1,,,,,,,
23/05/2025,3,shaded,S2,35.8,1,,,,,,,
23/05/2025,3,shaded,S2,38.6,1,,,,,,,
23/05/2025,3,shaded,S2,42.8,1,,,,,,,
23/05/2025,3,shaded,S2,49.2,1,,,,,,,
23/05/2025,3,shaded,S2,22.1,1,,,,,,,
23/05/2025,3,shaded,S2,45.2,1,,,,,,,
23/05/2025,3,shaded,S2,44,1,,,,,,,
23/05/2025,3,shaded,S2,41,1,,,,,,,
23/05/2025,3,shaded,S2,53.5,1,,,,,,,
23/05/2025,3,shaded,S2,42.8,1,,,,,,,
23/05/2025,3,shaded,S2,34,1,,,,,,,
23/05/2025,3,shaded,S3,49.4,1,,,,,,,
23/05/2025,3,shaded,S3,23.3,1,,,,,,,
23/05/2025,3,shaded,S3,45.4,1,,,,,,,
23/05/2025,3,shaded,S3,37.3,1,,,,,,,
